Product Name,Category,Batch Number,Quantity,Manufacturing Date,Expiry Date,Cost Per Unit
Whole Milk 1L,Dairy,B001,50,2026-06-02,2026-06-17,45.0
Cheddar Cheese 500g,Dairy,B002,30,2026-05-23,2026-07-04,130.0
Orange Juice 2L,Beverages,B003,40,2026-05-13,2026-07-27,95.0
White Bread,Bakery,B004,25,2026-06-09,2026-06-15,40.0
Pasta 500g,Dry Goods,B005,100,2026-04-13,2026-12-09,30.0
Tomato Sauce 400g,Canned,B006,80,2026-03-14,2026-10-10,35.0
Greek Yogurt 200g,Dairy,B007,20,2026-06-07,2026-06-11,28.0
Sparkling Water 1L,Beverages,B008,60,2026-02-12,2026-09-10,18.0
Granola Bars x6,Snacks,B009,45,2026-04-28,2026-08-01,75.0
Butter 250g,Dairy,B010,18,2026-05-28,2026-06-30,62.0
Corn Flakes 500g,Cereals,B011,35,2026-03-24,2026-12-29,80.0
Salted Crackers,Snacks,B012,55,2026-04-13,2026-07-22,42.0
Apple Juice 1L,Beverages,B013,28,2026-05-03,2026-06-07,55.0
Sliced Ham 200g,Deli,B014,12,2026-06-04,2026-06-22,110.0
Cream Cheese 150g,Dairy,B015,22,2026-05-31,2026-06-26,85.0
